"YSKƒ, KORVAKIPU; NUHA",KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,,,
,Onko sinulla ysk‰‰?,valinta,Kyll‰,,Milloin ysk‰ on alkanut?,valinta,Ysk‰‰ on ollut 1-3 vrk ajan,,Onko ysk‰ p‰‰osin limaista vai kuivaa?,valinta,Ysk‰ on limaista,1-3 vrk ajan ollut kuivaa ysk‰‰.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ysk‰ on kuivaa,1-3 vrk ajan ollut limaista ysk‰‰.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ysk‰‰ on ollut 4-6 vrk ajan,,Onko ysk‰ jatkuvaa vai puuskittaista? Valitse parhaiten sopiva vaihtoehto,Valinta,Minulla esiintyy pelk‰st‰‰n ysk‰npuuskia,,Onko ysk‰ p‰‰osin limaista vai kuivaa?,valinta,Ysk‰ on limaista,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"4-6 vrk ajan ollut limaisia ysk‰npuuskia, jotka ovat jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,4-6 vrk ajan ollut limaisia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,4-6 vrk ajan ollut pahenevia limaisia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ysk‰ on kuivaa,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"4-6 vrk ajan ollut kuivia ysk‰npuuskia, jotka ovat jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,4-6 vrk ajan ollut kuivia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,4-6 vrk ajan ollut pahenevia kuivia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ysk‰ on jatkuvaa,,Onko ysk‰ p‰‰osin limaista vai kuivaa?,valinta,Ysk‰ on limaista,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"4-6 vrk ajan ollut jatkuvaa limaista ysk‰‰, joka on jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,4-6 vrk ajan ollut jatkuvaa limaista ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,4-6 vrk ajan ollut jatkuvaa ja pahenevaa limaista ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ysk‰ on kuivaa,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"4-6 vrk ajan ollut jatkuvaa kuivaa ysk‰‰, joka on jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,4-6 vrk ajan ollut jatkuvaa kuivaa ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,4-6 vrk ajan ollut jatkuvaa ja pahenevaa kuivaa ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,Ysk‰‰ on ollut 1-2 vko ajan,,Onko ysk‰ jatkuvaa vai puuskittaista? Valitse parhaiten sopiva vaihtoehto,Valinta,Minulla esiintyy pelk‰st‰‰n ysk‰npuuskia,,Onko ysk‰ p‰‰osin limaista vai kuivaa?,valinta,Ysk‰ on limaista,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"1-2 vko ajan ollut limaisia ysk‰npuuskia, jotka ovat jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,1-2 vko ajan ollut limaisia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,1-2 vko ajan ollut pahenevia limaisia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ysk‰ on kuivaa,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"1-2 vko ajan ollut kuivia ysk‰npuuskia, jotka ovat jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,1-2 vko ajan ollut kuivia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,1-2 vko ajan ollut pahenevia kuivia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ysk‰ on jatkuvaa,,Onko ysk‰ p‰‰osin limaista vai kuivaa?,valinta,Ysk‰ on limaista,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"1-2 vko ajan ollut jatkuvaa limaista ysk‰‰, joka on jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,1-2 vko ajan ollut jatkuvaa limaista ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,1-2 vko ajan ollut jatkuvaa ja pahenevaa limaista ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ysk‰ on kuivaa,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"1-2 vko ajan ollut jatkuvaa kuivaa ysk‰‰, joka on jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,1-2 vko ajan ollut jatkuvaa kuivaa ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,1-2 vko ajan ollut jatkuvaa ja pahenevaa kuivaa ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,Ysk‰‰ on ollut 2vko-1kk ajan,,Onko ysk‰ jatkuvaa vai puuskittaista? Valitse parhaiten sopiva vaihtoehto,Valinta,Minulla esiintyy pelk‰st‰‰n ysk‰npuuskia,,Onko ysk‰ p‰‰osin limaista vai kuivaa?,valinta,Ysk‰ on limaista,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"2 vko - 1kk ajan ollut limaisia ysk‰npuuskia, jotka ovat jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,2 vko - 1kk ajan ollut limaisia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,2 vko - 1kk ajan ollut pahenevia limaisia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ysk‰ on kuivaa,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"2 vko - 1kk ajan ollut kuivia ysk‰npuuskia, jotka ovat jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,2 vko - 1kk ajan ollut kuivia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,2 vko - 1kk ajan ollut pahenevia kuivia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ysk‰ on jatkuvaa,,Onko ysk‰ p‰‰osin limaista vai kuivaa?,valinta,Ysk‰ on limaista,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"2 vko - 1kk ajan ollut jatkuvaa limaista ysk‰‰, joka on jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,2 vko - 1kk ajan ollut jatkuvaa limaista ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,2 vko - 1kk ajan ollut jatkuvaa ja pahenevaa limaista ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ysk‰ on kuivaa,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"2 vko - 1kk ajan ollut jatkuvaa kuivaa ysk‰‰, joka on jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,2 vko - 1kk ajan ollut jatkuvaa kuivaa ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,2 vko - 1kk ajan ollut jatkuvaa ja pahenevaa kuivaa ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,Ysk‰‰ on ollut yli 1 kk ajan,,Onko ysk‰ jatkuvaa vai puuskittaista? Valitse parhaiten sopiva vaihtoehto,Valinta,Minulla esiintyy pelk‰st‰‰n ysk‰npuuskia,,Onko ysk‰ p‰‰osin limaista vai kuivaa?,valinta,Ysk‰ on limaista,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"Yli 1kk ajan ollut limaisia ysk‰npuuskia, jotka ovat jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,Yli 1kk ajan ollut limaisia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,Yli 1kk ajan ollut pahenevia limaisia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ysk‰ on kuivaa,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"Yli 1kk ajan ollut kuivia ysk‰npuuskia, jotka ovat jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,Yli 1kk ajan ollut kuivia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,Yli 1kk ajan ollut pahenevia kuivia ysk‰npuuskia.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ysk‰ on jatkuvaa,,Onko ysk‰ p‰‰osin limaista vai kuivaa?,valinta,Ysk‰ on limaista,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"Yli 1kk ajan ollut jatkuvaa limaista ysk‰‰, joka on jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,Yli 1kk ajan ollut jatkuvaa limaista ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,Yli 1kk ajan ollut pahenevaa jatkuvaa limaista ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ysk‰ on kuivaa,,"Onko ysk‰ pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Ysk‰ on jo helpottamassa,"Yli 1kk ajan ollut jatkuvaa kuivaa ysk‰‰, joka on jo helpottamassa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pysynyt samanalaisena,Yli 1kk ajan ollut jatkuvaa kuivaa ysk‰‰.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ysk‰ on pahenemassa,Yli 1kk ajan ollut jatkuvaa ja pahenevaa kuivaa ysk‰‰.,,,,,,,,,,,,,,,,,
,,,Ei,Ei ysk‰‰.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla kurkkukipua?,valinta,Kyll‰,,Milloin kurkkukipu on alkanut?,valinta,Kurkkukipua on ollut 1-3 vrk ajan,1-3 vrk ajan ollut kurkkukipua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kurkkukipua on ollut 4-6 vrk ajan,,"Onko kurkkukipu pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Kurkkukipu on helpottamassa,"Kurkkukipua 4-6 vrk:n ajan, on mennyt parempaan suuntaan.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kurkkukipu on pysynyt samanlaisena,Tasaista kurkkukipua 4-6 vrk ajan.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kurkkukipu on pahenemassa,4-6 vrk ajan ollut pahenevaa kurkkukipua.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kurkkukipua on ollut 1-2 vko ajan,,"Onko kurkkukipu pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Kurkkukipu on helpottamassa,"Kurkkukipua 1-2 vko ajan, on mennyt parempaan suuntaan.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kurkkukipu on pysynyt samanlaisena,Tasaista kurkkukipua 1-2 vko ajan.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kurkkukipu on pahenemassa,1-2 vko ajan ollut pahenevaa kurkkukipua.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kurkkukipua on ollut 2 vko - 1 kk ajan,,"Onko kurkkukipu pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Kurkkukipu on helpottamassa,"Kurkkukipua 2 vko - 1 kk ajan, on mennyt parempaan suuntaan.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kurkkukipu on pysynyt samanlaisena,Tasaista kurkkukipua 2 vko - 1 kk ajan.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kurkkukipu on pahenemassa,2 vko - 1 kk ajan ollut pahenevaa kurkkukipua.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Kurkkukipua on ollut yli 1 kk ajan,,"Onko kurkkukipu pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Kurkkukipu on helpottamassa,"Kurkkukipua yli 1 kk ajan, on mennyt parempaan suuntaan.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kurkkukipu on pysynyt samanlaisena,Tasaista kurkkukipua 2 vko - 1 kk ajan.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Kurkkukipu on pahenemassa,2 vko - 1 kk ajan ollut pahenevaa kurkkukipua.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko l‰hipiiriss‰ esiintynyt angiinaa (streptokokkinielutulehdusta) l‰hiaikoina?,valinta,Kyll‰,L‰hipiiriss‰ on esiintynyt streptokokkinielutulehdusta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei,L‰hipiiriss‰ ei ole esiintynyt streptokokkinielutulehdusta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei ,Ei kurkkukipua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla nuhaa?,valinta,Kyll‰,,Milloin nuha on alkanut?,valinta,Nuhaa on ollut 1-3 vrk ajan,,Onko nuha ollut limaista vai vetist‰?,valinta,Nuha on vetist‰,1-3 vrk ajan ollut vetist‰ nuhaa.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Nuha on limaista,1-3 vrk ajan ollut limaista nuhaa.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nuhaa on ollut 4-6 vrk ajan,,Onko nuha ollut limaista vai vetist‰?,valinta,Nuha on vetist‰,,"Onko nuha pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Nuha on helpottamassa,"4-6 vrk ajan vetist‰ nuhaa, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pysynyt samanlaisena,4-6 vrk ajan ollut tasaista vetist‰ nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pahenemassa,4-6 vrk ajan ollut pahenevaa vetist‰ nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Nuha on limaista,,"Onko nuha pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Nuha on helpottamassa,"4-6 vrk ajan limaista nuhaa, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pysynyt samanlaisena,4-6 vrk ajan ollut tasaista limaista nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pahenemassa,4-6 vrk ajan ollut pahenevaa limaista nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nuhaa on ollut 1-2 vko ajan,,Onko nuha ollut limaista vai vetist‰?,valinta,Nuha on vetist‰,,"Onko nuha pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Nuha on helpottamassa,"1-2 vko ajan vetist‰ nuhaa, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pysynyt samanlaisena,1-2 vko ajan ollut tasaista vetist‰ nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pahenemassa,1-2 vko ajan ollut pahenevaa vetist‰ nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Nuha on limaista,,"Onko nuha pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Nuha on helpottamassa,"1-2 vko ajan limaista nuhaa, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pysynyt samanlaisena,1-2 vko ajan ollut tasaista limaista nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pahenemassa,1-2 vko ajan ollut pahenevaa limaista nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nuhaa on ollut 2 vko - 1 kk ajan,,Onko nuha ollut limaista vai vetist‰?,valinta,Nuha on vetist‰,,"Onko nuha pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Nuha on helpottamassa,"2 vko - 1 kk ajan vetist‰ nuhaa, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pysynyt samanlaisena,2 vko - 1 kk ajan ollut tasaista vetist‰ nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pahenemassa,2 vko - 1 kk ajan ollut pahenevaa vetist‰ nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Nuha on limaista,,"Onko nuha pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Nuha on helpottamassa,"2 vko - 1 kk ajan limaista nuhaa, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pysynyt samanlaisena,2 vko - 1 kk ajan ollut tasaista limaista nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pahenemassa,2 vko - 1 kk ajan ollut pahenevaa limaista nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nuhaa on ollu yli 1 kk ajan,,Onko nuha ollut limaista vai vetist‰?,valinta,Nuha on vetist‰,,"Onko nuha pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Nuha on helpottamassa,"Yli 1 kk ajan vetist‰ nuhaa, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pysynyt samanlaisena,Yli 1 kk ajan ollut tasaista vetist‰ nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pahenemassa,Yli 1 kk ajan ollut pahenevaa vetist‰ nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Nuha on limaista,,"Onko nuha pahenemassa, pysynyt samanalaisena vai helpottamassa?",valinta,Nuha on helpottamassa,"Yli 1 kk ajan limaista nuhaa, joka on helpottamassa.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pysynyt samanlaisena,Yli 1 kk ajan ollut tasaista limaista nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Nuha on pahenemassa,Yli 1 kk ajan ollut pahenevaa limaista nuhaa.,,,,,,,,,,,,,,,,,,,,,
,,,,,Onko sinulla paineen tunnetta ja/tai kipua poskissa/kasvoissa?,valinta,Kyll‰,,Milloin paineen tunne ja/tai kipu poskissa/kasvoissa on alkanut? ,valinta,Paineen tunne/kipu on alkanut t‰n‰‰n,T‰n‰‰n alkanut paineen tunne/kipu poskissa/kasvoilla.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Paineen tunnetta/kipua on ollut 1-3 vrk ajan,4-6 vrk ajan ollut paineen tunnetta/kipua poskissa/kasvoissa.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Paineen tunnetta/kipua on ollut 4-6 vrk ajan,4-6 vrk ajan ollut paineen tunnetta/kipua poskissa/kasvoissa. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Paineen tunnetta/kipua on ollut 1-2 vko ajan,1-2 vko ajan ollut paineen tunnetta/kipua poskissa/kasvoissa.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Paineen tunnetta/kipua on ollut yli 2 vko ajan,Yli 2 vko ajan ollut paineen tunnetta/kipua poskissa/kasvoissa.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ei ,Ei paineen tunnetta/kipua poskissa/kasvoissa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,Ei nuhaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
