Gynekologiset oireet,,,,,,,,,,,,,,,,,,,,,,,,
,Onko sinulla nyt ollut poikkeavaa vuotoa em‰ttimest‰.,valinta,Kyll‰,,Kuinka kauan sinulla on ollut poikkeavaa vuotoa?,valinta,Oireet ovat alkaneet minulla t‰n‰‰n.,,Mink‰laista vuotoa sinulla on ollut?,valinta,Minulla on lis‰‰ntynytt‰ valkovuotoa,T‰n‰‰n tullut norm. enemm‰n valkovuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kellert‰v‰‰ vuotoa,T‰n‰‰n tullut kellert‰v‰‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on rusehtavaa vuotoa,T‰n‰‰n tullut rusehtavaa vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on verist‰ vuotoa,T‰n‰‰n alkanut verinen vuoto em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,"Minulla on poikkeavaa vuotoa, mutta en osaa sanoa mill‰ tavalla poikkeavaa.","T‰n‰‰n alkanut poikkeava vuoto em‰ttimest‰, ei osaa sanoa mill‰ tavalla poikkeavaa.",,,,,,,,,,,,
,,,,,,,Minulla on ollut oireita 1-3 vrk ajan.,,Mink‰laista vuotoa sinulla on ollut?,valinta,Minulla on lis‰‰ntynytt‰ valkovuotoa,1-3 vrk ajan ollut norm. enemm‰n valkovuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kellert‰v‰‰ vuotoa,1-3 vrk ajan ollut kellert‰v‰‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on rusehtavaa vuotoa,1-3 vrk ajan ollut rusehtavaa vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on verist‰ vuotoa,1-3 vrk ajan ollut verist‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,"Minulla on poikkeavaa vuotoa, mutta en osaa sanoa mill‰ tavalla poikkeavaa.","1-3 vrk:n ajan ollut poikkeavaa vuotoa em‰ttimest‰, ei osaa sanoa mill‰ tavalla poikkeavaa.",,,,,,,,,,,,
,,,,,,,Minulla on ollut oireita 4-6 vrk ajan.,,Mink‰laista vuotoa sinulla on ollut?,valinta,Minulla on lis‰‰ntynytt‰ valkovuotoa,4-6 vrk ajan ollut norm. enemm‰n valkovuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kellert‰v‰‰ vuotoa,4-6 vrk ajan ollut kellert‰v‰‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on rusehtavaa vuotoa,4-6 vrk ajan ollut rusehtavaa vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on verist‰ vuotoa,,Onko verinen vuoto lis‰‰ntynyt koko ajan?,valinta,Kyll‰,4-6 vrk ajan ollut koko ajan lis‰‰ntyv‰‰ verist‰ vuotoa.,,,,,,,,
,,,,,,,,,,,,,,,Ei,4-6 vrk ajan ollut verist‰ vuotoa.,,,,,,,,
,,,,,,,,,,,Minulla on ep‰m‰‰r‰ist‰ vuotoa ts. en osaa kuvailla vuotoa,4-6 vrk:n ajan ep‰m‰‰r‰ist‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,Minulla on ollut oireita 1-2 viikon ajan.,,Mink‰laista vuotoa sinulla on ollut?,valinta,Minulla on lis‰‰ntynytt‰ valkovuotoa,1-2 vko ajan ollut norm. enemm‰n valkovuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kellert‰v‰‰ vuotoa,1-2 vko ajan ollut kellert‰v‰‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on rusehtavaa vuotoa,1-2 vko ajan ollut rusehtavaa vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on verist‰ vuotoa,,Onko verinen vuoto lis‰‰ntynyt koko ajan?,valinta,Kyll‰,1-2 vko ajan ollut koko ajan lis‰‰ntyv‰‰ verist‰ vuotoa.,,,,,,,,
,,,,,,,,,,,,,,,Ei,1-2 vko ajan ollut verist‰ vuotoa.,,,,,,,,
,,,,,,,,,,,Minulla on ep‰m‰‰r‰ist‰ vuotoa ts. en osaa kuvailla vuotoa,1-2 vko:n ajan ep‰m‰‰r‰ist‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,,,,,Minulla on ollut oireita yli 2 viikon ajan.,,Mink‰laista vuotoa sinulla on ollut?,valinta,Minulla on lis‰‰ntynytt‰ valkovuotoa,Yli 2 vko ajan ollut norm. enemm‰n valkovuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on kellert‰v‰‰ vuotoa,Yli 2 vko ajan ollut kellert‰v‰‰ vuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on rusehtavaa vuotoa,Yli 2 vko ajan ollut rusehtavaa vuotoa.,,,,,,,,,,,,
,,,,,,,,,,,Minulla on verist‰ vuotoa,,Onko verinen vuoto lis‰‰ntynyt koko ajan?,valinta,Kyll‰,Yli 2 vko ajan ollut koko ajan lis‰‰ntyv‰‰ verist‰ vuotoa.,,,,,,,,
,,,,,,,,,,,,,,,Ei,Yli 2 vko ajan ollut koko ajan lis‰‰ntyv‰‰ verist‰ vuotoa.,,,,,,,,
,,,,,,,,,,,Minulla on ep‰m‰‰r‰ist‰ vuotoa ts. en osaa kuvailla vuotoa,Yli 2 vko:n ajan ollut ep‰m‰‰r‰ist‰ vuotoa em‰ttimest‰.,,,,,,,,,,,,
,,,Ei,Ei poikkeavaa gyn. vuotoa.,,,,,,,,,,,,,,,,,,,,
,,,En osaa sanoa,Ei osaa sanoa onko ollut poikkeavaa gyn.vuotoa.,,,,,,,,,,,,,,,,,,,,
,Onko sinulla kutinaa sukupuolielimiss‰?,valinta,Kyll‰,,Onko sinulla kirvely‰ sukupuolielimiss‰?,valinta,Kyll‰,,Onko sinulla kipua sukupuolielimiss‰?,valinta,Kyll‰,,Kuinka kauan n‰it‰ oireita on esiintynyt?,valinta,Oireet ovat alkaneet t‰n‰‰n,"T‰n‰‰n alkanut kutinaa, kirvely‰ ja kipua genitaalialueella.",,,,,,,,
,,,,,,,,,,,,,,,Oireita on ollut 1-3 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,"1-3 vrk ajan ollut pahenevaa kutinaa, kirvely‰ ja kipua genitaalialueella.",,,,
,,,,,,,,,,,,,,,,,,,Ei,"1-3 vrk ajan ollut kutinaa, kirvely‰ ja kipua genitaalialueella.",,,,
,,,,,,,,,,,,,,,Oireita on ollut 4-6 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,"4-6 vrk ajan ollut pahenevaa kutinaa, kirvely‰ ja kipua genitaalialueella.",,,,
,,,,,,,,,,,,,,,,,,,Ei,"4-6 vrk ajan ollut kutinaa, kirvely‰ ja kipua genitaalialueella.",,,,
,,,,,,,,,,,,,,,Oireita on ollut 1-2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,"1-2 vko ajan ollut pahenevaa kutinaa, kirvely‰ ja kipua genitaalialueella.",,,,
,,,,,,,,,,,,,,,,,,,Ei,"1-2 vko ajan ollut kutinaa, kirvely‰ ja kipua genitaalialueella.",,,,
,,,,,,,,,,,,,,,Oireita on ollut yli 2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,"yli 2 vko ajan ollut pahenevaa kutinaa, kirvely‰ ja kipua genitaalialueella.",,,,
,,,,,,,,,,,,,,,,,,,Ei,"Yli 2 vko ajan ollut kutinaa, kirvely‰ ja kipua genitaalialueella.",,,,
,,,,,,,,,,,Ei,,Kuinka kauan kutinaa ja kirvely‰ on esiintynyt?,valinta,Oireet ovat alkaneet t‰n‰‰n,T‰n‰‰n alkanut kutinaa ja kirvely‰ genitaalialueella.,,,,,,,,
,,,,,,,,,,,,,,,Oireita on ollut 1-3 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,1-3 vrk ajan ollut pahenevaa kutinaa ja kirvely‰ genitaalialueella.,,,,
,,,,,,,,,,,,,,,,,,,Ei,1-3 vrk ajan ollut kutinaa ja kirvely‰ genitaalialueella.,,,,
,,,,,,,,,,,,,,,Oireita on ollut 4-6 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,4-6 vrk ajan ollut pahenevaa kutinaa ja kirvely‰ genitaalialueella.,,,,
,,,,,,,,,,,,,,,,,,,Ei,4-6 vrk ajan ollut kutinaa ja kirvely‰ genitaalialueella.,,,,
,,,,,,,,,,,,,,,Oireita on ollut 1-2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,1-2 vko ajan ollut pahenevaa kutinaa ja kirvely‰ genitaalialueella.,,,,
,,,,,,,,,,,,,,,,,,,Ei,1-2 vko ajan ollut kutinaa ja kirvely‰ genitaalialueella.,,,,
,,,,,,,,,,,,,,,Oireita on ollut yli 2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,yli 2 vko ajan ollut pahenevaa kutinaa ja kirvely‰ genitaalialueella.,,,,
,,,,,,,,,,,,,,,,,,,Ei,yli 2 vko ajan ollut kutinaa ja kirvely‰ sukupuolielimiss‰.,,,,
,,,,,,,Ei,,Onko sinulla kipua sukupuolielimiss‰?,valinta,Kyll‰,,Kuinka kauan kutinaa ja kipua on esiintynyt?,valinta,Oireet ovat alkaneet t‰n‰‰n,T‰n‰‰n alkanut kutinaa ja kipua genitaalialueella.,,,,,,,,
,,,,,,,,,,,,,,,Oireita on ollut 1-3 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,1-3 vrk ajan ollut pahenevaa kutinaa ja kipua genitaalialueella.,,,,
,,,,,,,,,,,,,,,,,,,Ei,1-3 vrk ajan ollut kutinaa ja kipua genitaalialueella.,,,,
,,,,,,,,,,,,,,,Oireita on ollut 4-6 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,4-6 vrk ajan ollut pahenevaa kutinaa ja kipua genitaalialueella.,,,,
,,,,,,,,,,,,,,,,,,,Ei,4-6 vrk ajan ollut kutinaa ja kipua genitaalialueella.,,,,
,,,,,,,,,,,,,,,Oireita on ollut 1-2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,1-2 vko ajan ollut pahenevaa kutinaa ja kipua genitaalialueella.,,,,
,,,,,,,,,,,,,,,,,,,Ei,1-2 vko ajan ollut kutinaa ja kipua genitaalialueella.,,,,
,,,,,,,,,,,,,,,Oireita on ollut yli 2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,yli 2 vko ajan ollut pahenevaa kutinaa ja kipua genitaalialueella.,,,,
,,,,,,,,,,,,,,,,,,,Ei,yli 2 vko ajan ollut kutinaa ja kipua genitaalialueella.,,,,
,,,,,,,,,,,Ei,,Kuinka kauan kutinaa on esiintynyt?,valinta,Kutina on alkanut t‰n‰‰n,"T‰n‰‰n on alkanut kutina genitaalialueella, ei kirvely‰/kipua.",,,,,,,,
,,,,,,,,,,,,,,,Kutinaa on ollut 1-3 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,1-3 vrk ajan ollut pahenevaa kutinaa genitaalialueella. Ei kirvely‰/kipua.,,,,
,,,,,,,,,,,,,,,,,,,Ei,1-3 vrk ajan ollut kutinaa genitaalialueella. Ei kirvely‰/kipua.,,,,
,,,,,,,,,,,,,,,Kutinaa on ollut 4-6 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,4-6 vrk ajan ollut pahenevaa kutinaa genitaalialueella. Ei kirvely‰/kipua.,,,,
,,,,,,,,,,,,,,,,,,,Ei,4-6 vrk ajan ollut kutinaa genitaalialueella. Ei kirvely‰/kipua.,,,,
,,,,,,,,,,,,,,,Kutinaa on ollut 1-2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,1-2 vko ajan ollut pahenevaa kutinaa genitaalialueella. Ei kirvely‰/kipua.,,,,
,,,,,,,,,,,,,,,,,,,Ei,1-2 vko ajan ollut kutinaa genitaalialueella. Ei kirvely‰/kipua.,,,,
,,,,,,,,,,,,,,,Kutinaa on ollut yli 2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,yli 2 vko ajan ollut pahenevaa kutinaa genitaalialueella. Ei kirvely‰/kipua.,,,,
,,,,,,,,,,,,,,,,,,,Ei,yli 2 vko ajan ollut kutinaa genitaalialueella. Ei kirvely‰/kipua.,,,,
,,,Ei,,Onko sinulla kirvely‰ sukupuolielimiss‰?,valinta,Kyll‰,,Onko sinulla kipua sukupuolielimiss‰?,valinta,Kyll‰,,Kuinka kauan kirvely‰ ja kipua on esiintynyt?,valinta,Oireet ovat alkaneet t‰n‰‰n,T‰n‰‰n on alkanut kirvely ja kipu genitaalialueella. Ei kutinaa.,,,,,,,,
,,,,,,,,,,,,,,,Oireita on ollut 1-3 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,1-3 vrk ajan ollut pahenevaa kirvely‰ ja kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,,,,,Ei,1-3 vrk ajan ollut kirvely‰ ja kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,Oireita on ollut 4-6 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,4-6 vrk ajan ollut pahenevaa kirvely‰ ja kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,,,,,Ei,4-6 vrk ajan ollut kirvely‰ ja kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,Oireita on ollut 1-2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,1-2 vko ajan ollut pahenevaa kirvely‰ ja kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,,,,,Ei,1-2 vko ajan ollut kirvely‰ ja kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,Oireita on ollut yli 2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,yli 2 vko ajan ollut pahenevaa kirvely‰ ja kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,,,,,Ei,yli 2 vko ajan ollut kirvely‰ ja kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,Ei,,Kuinka kauan kirvely‰ on esiintynyt?,valinta,Kirvely on alkanut t‰n‰‰n,T‰n‰‰n on alkanut kirvely genitaalialueella. Ei kutinaa.,,,,,,,,
,,,,,,,,,,,,,,,Kirvely‰ on ollut 1-3 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,1-3 vrk ajan ollut pahenevaa kirvely‰ genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,,,,,Ei,1-3 vrk ajan ollut kirvely‰ genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,Kirvely‰ on ollut 4-6 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,4-6 vrk ajan ollut pahenevaa kirvely‰ genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,,,,,Ei,4-6 vrk ajan ollut kirvely‰ genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,Kirvely‰ on ollut 1-2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,1-2 vko ajan ollut pahenevaa kirvely‰ genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,,,,,Ei,1-2 vko ajan ollut kirvely‰ genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,Kirvely‰ on ollut yli 2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,yli 2 vko ajan ollut pahenevaa kirvely‰ genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,,,,,Ei,yli 2 vko ajan ollut kirvely‰ genitaalialueella. Ei kutinaa.,,,,
,,,,,,,Ei,,Onko sinulla kipua sukupuolielimiss‰?,valinta,Kyll‰,,Kuinka kauan kipua on esiintynyt?,valinta,Kipu on alkanut t‰n‰‰n,T‰n‰‰n on alkanut kipu genitaalialueella. Ei kutinaa.,,,,,,,,
,,,,,,,,,,,,,,,Kipua on ollut 1-3 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,1-3 vrk ajan ollut pahenevaa kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,,,,,Ei,1-3 vrk ajan ollut kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,Kipua on ollut 4-6 vrk ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,4-6 vrk ajan ollut pahenevaa kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,,,,,Ei,4-6 vrk ajan ollut kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,Kipua on ollut 1-2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,1-2 vko ajan ollut pahenevaa kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,,,,,Ei,1-2 vko ajan ollut kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,Kipua on ollut yli 2 vko ajan,,Ovatko oireet pahentuneet koko ajan?,valinta,Kyll‰,yli 2 vko ajan ollut pahenevaa kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,,,,,,,,,Ei,yli 2 vko ajan ollut kipua genitaalialueella. Ei kutinaa.,,,,
,,,,,,,,,,,Ei,"Ei kutinaa, kirvely‰ tai kipua genitaalialueella.",,,,,,,,,,,,
,"Onko sukupuolielinalueelle ilmestynyt viime aikoina poikkeavia muutoksia; patti/patteja, rakkuloita, haavaumia ja/tai ihottumaa/ihomuutos?",valinta,Minulle on tullut patti/patit,,Milloin olet huomannut patin?,valinta,Olen huomannut patin/patit t‰n‰‰n.,Potilas on t‰n‰‰n huomannut patin/patit genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut patin/patit 1-3 vrk sitten,Potilas on 1-3 vrk:tta sitten huomannut patin/patit genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut patin/patit 4-6 vrk:tta sitten.,Potilas on 4-6 vrk:tta sitten huomannut patin/patit genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut patin/patit 1-2 vko sitten.,Potilas on 1-2 vko:a sitten huomannut patin/patit genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut patin/patit yli 2 vko:a sitten.,Potilas on yli 2 vko:a sitten huomannut patin/patit genitaalialueella.,,,,,,,,,,,,,,,,
,,,Minulle on tullut rakkuloita,,Milloin olet huomannut rakkulat?,valinta,Olen huomannut rakkulat t‰n‰‰n.,Potilas on t‰n‰‰n huomannut rakkuloita genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut rakkulat 1-3 vrk sitten,Potilas on 1-3 vrk:tta sitten huomannut rakkuloita genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut rakkulat 4-6 vrk:tta sitten.,Potilas on 4-6 vrk:tta sitten huomannut rakkuloita genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut rakkulat 1-2 vko sitten.,Potilas on 1-2 vko:a sitten huomannut rakkuloita genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut rakkulat yli 2 vko:a sitten.,Potilas on yli 2 vko:a sitten huomannut rakkuloita genitaalialueella.,,,,,,,,,,,,,,,,
,,,Minulla on tullut haavauma,,Milloin olet huomannut haavan/haavat?,valinta,Olen huomannut haavan t‰n‰‰n.,Potilas on t‰n‰‰n huomannut haavaumaa genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut haavan 1-3 vrk sitten,Potilas on 1-3 vrk:tta sitten huomannut haavaumaa genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut haavan 4-6 vrk:tta sitten.,Potilas on 4-6 vrk:tta sitten huomannut haavaumaa genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut haavan 1-2 vko sitten.,Potilas on 1-2 vko:a sitten huomannut haavaumaa genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut haavan yli 2 vko:a sitten.,Potilas on yli 2 vko:a sitten huomannut haavaumaa genitaalialueella.,,,,,,,,,,,,,,,,
,,,Minulle on tullut ihottuma/ihomuutos,,Milloin olet huomannut ihottuman/ihomuutoksen?,valinta,Olen huomannut ihottuman/ihomuutoksen t‰n‰‰n.,Potilas on t‰n‰‰n huomannut ihottuman/ihomuutoksen genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut ihottuman/ihomuutoksen 1-3 vrk sitten,Potilas on 1-3 vrk:tta sitten huomannut ihottuman/ihomuutoksen genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut ihottuman/ihomuutoksen 4-6 vrk:tta sitten.,Potilas on 4-6 vrk:tta sitten huomannut ihottuman/ihomuutoksen genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut ihottuman/ihomuutoksen 1-2 vko sitten.,Potilas on 1-2 vko:a sitten huomannut ihottuman/ihomuutoksen genitaalialueella.,,,,,,,,,,,,,,,,
,,,,,,,Olen huomannut ihottuman/ihomuutoksen yli 2 vko:a sitten.,Potilas on yli 2 vko:a sitten huomannut ihottuman/ihomuutoksen genitaalialueella.,,,,,,,,,,,,,,,,
,,,Minulle ei ole tullut mit‰‰n yll‰ olevista muutoksista.,"Ei patteja, rakkuloita, ihottumaa/ihomuutoksia tai haavaumia genitaalialueella.",,,,,,,,,,,,,,,,,,,,
,Onko sukupuolielinalueella punoitusta?,valinta,Kyll‰,,Kuumoittaako myˆs alue?,valinta,Kyll‰,,Onko alueella turvotusta?,valinta,Kyll‰,"Genitaalialue kuumoittaa, punoittaa ja turvottaa.",,,,,,,,,,,,
,,,,,,,,,,,Ei,"Genitaalialue kuumoittaa ja punoittaa, mutta ei turvotusta.",,,,,,,,,,,,
,,,,,,,Ei,,Onko alueella turvotusta?,valinta,Kyll‰,"Genitaalialue punoittaa ja turvottaa, mutta ei kuumoitusta.",,,,,,,,,,,,
,,,,,,,,,,,Ei,"Genitaalialue punoittaa, mutta ei kuumoitusta eik‰ turvotusta.",,,,,,,,,,,,
,,,Ei,,Kuumoittaako alue?,valinta,Kyll‰,,Onko alueella turvotusta?,valinta,Kyll‰,"Genitaalialue kuumoittaa ja turvottaa, mutta ei punoita.",,,,,,,,,,,,
,,,,,,,,,,,Ei,"Genitaalialue kuumoittaa, mutta ei punoita eik‰ turvota.",,,,,,,,,,,,
,,,,,,,Ei,,Onko alueella turvotusta?,valinta,Kyll‰,"Genitaalialueella on turvotusta, mutta ei kuumoitusta tai punoitusta.",,,,,,,,,,,,
,,,,,,,,,,,Ei,"Ei turvotusta, kuumoitusta tai punoitusta genitaalialueella.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
