Kuume,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,"1-2 viikon ajan ollut ajoittain kuumetta, korkeimmillaan noin 39 astetta. Ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 39.4-39.9 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"1-2 viikon ajan ollut ajoittain kuumetta, korkeimmillaan melkein 40 astetta. Laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"1-2 viikon ajan ollut ajoittain kuumetta, korkeimmillaan melkein 40 astetta. Ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"1-2 viikon ajan ollut ajoittain kuumetta, korkeimmillaan melkein 40 astetta. Ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 40 astetta tai yli.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"1-2 viikon ajan ollut ajoittain kuumetta, korkeimmillaan yli 40 astetta. Laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"1-2 viikon ajan ollut ajoittain kuumetta, korkeimmillaan yli 40 astetta. Ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"1-2 viikon ajan ollut ajoittain kuumetta, korkeimmillaan yli 40 astetta. Ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,Minulla on ollut kuumetta 2 viikon - 1 kuukauden ajan.,,Onko sinulla ollut kuumetta p‰ivitt‰in vai ajoittain?,valinta,Minulla on ollut kuumetta p‰ivitt‰in.,,Kuinka paljon kuumetta on ollut korkeimmillaan?,valinta,Minulla on ollut l‰mpˆ‰ 37.6-38.1 astetta.,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan noin 38 astetta.",,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 38.2-38.7 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan n. 38.5 astetta, laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan n. 38.5 astetta, ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan n. 38.5 astetta, ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 38.8-39.3 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan n. 39 astetta, laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan n. 39 astetta, ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan n. 39 astetta, ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 39.4-39.9 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan melkein 40 astetta, laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan melkein 40 astetta, ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan melkein 40 astetta, ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 40 astetta tai yli.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan yli 40 astetta, laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan yli 40 astetta, ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan yli 40 astetta, ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,Minulla on ollut kuumetta ajoittain (kaikkina p‰ivin‰ ei ole kuumetta).,,Kuinka paljon kuumetta on ollut korkeimmillaan?,valinta,Minulla on ollut l‰mpˆ‰ 37.6-38.1 astetta.,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan noin 38 astetta.",,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 38.2-38.7 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan n.38.5 astetta, laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan n.38.5 astetta, ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan n. 38.5 astetta, ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 38.8-39.3 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan noin 39 astetta. Laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan noin 39 astetta. Ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan noin 39 astetta. Ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 39.4-39.9 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan melkein 40 astetta. Laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan melkein 40 astetta. Ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan melkein 40 astetta. Ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 40 astetta tai yli.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan yli 40 astetta. Laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan yli 40 astetta. Ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"2 viikon - 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan yli 40 astetta. Ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,Minulla on ollut kuumetta yli kk ajan.,,Onko sinulla ollut kuumetta p‰ivitt‰in vai ajoittain?,valinta,Minulla on ollut kuumetta p‰ivitt‰in.,,Kuinka paljon kuumetta on ollut korkeimmillaan?,valinta,Minulla on ollut l‰mpˆ‰ 37.6-38.1 astetta.,"Yli 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan noin 38 astetta.",,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 38.2-38.7 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"Yli 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan n. 38.5 astetta, laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Yli kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan n. 38.5 astetta, ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan n. 38.5 astetta, ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 38.8-39.3 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"Yli 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan n. 39 astetta, laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan n. 39 astetta, ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan n. 39 astetta, ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 39.4-39.9 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"Yli 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan melkein 40 astetta, laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan melkein 40 astetta, ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan melkein 40 astetta, ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 40 astetta tai yli.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"Yli 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan yli 40 astetta, laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Yli1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan yli 40 astetta, ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut p‰ivitt‰in kuumetta, korkeimmillaan yli 40 astetta, ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,Minulla on ollut kuumetta ajoittain (kaikkina p‰ivin‰ ei ole kuumetta).,,Kuinka paljon kuumetta on ollut korkeimmillaan?,valinta,Minulla on ollut l‰mpˆ‰ 37.6-38.1 astetta.,"Yli 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan noin 38 astetta.",,,,,,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 38.2-38.7 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"Yli 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan n.38.5 astetta, laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Yli1 kk ajan ollut ajoittain kuumetta, korkeimmillaan n.38.5 astetta, ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan n. 38.5 astetta, ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 38.8-39.3 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"Yli 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan noin 39 astetta. Laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan noin 39 astetta. Ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan noin 39 astetta. Ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 39.4-39.9 astetta.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"Yli 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan melkein 40 astetta. Laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan melkein 40 astetta. Ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan melkein 40 astetta. Ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,Minulla on ollut l‰mpˆ‰ 40 astetta tai yli.,,"Oletko ottanut kuumel‰‰kett‰ (esim. burana, panadol yms?)",valinta,Kyll‰,,Laskeeko sinulla kuume l‰‰kityksell‰?,valinta,Kyll‰,"Yli 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan yli 40 astetta. Laskee kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan yli 40 astetta. Ei laske kuumel‰‰kityksell‰.",,,,,,,,
,,,,,,,,,,,,,,,Ei,"Yli 1 kk ajan ollut ajoittain kuumetta, korkeimmillaan yli 40 astetta. Ei ole ottanut kuumel‰‰kett‰.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
